# MODEL_TAG;ENGLISH;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
######################################;;;;;;;;;;;;;;x
# Unique/Historical Corps/Armies      ;;;;;;;;;;;;;;x
######################################;;;;;;;;;;;;;;x
usa_i_corps;U.S. I Corps Headquarters;;;;;;;;;;;;;x
usa_i_corps_short;US I Corps;;;;;;;;;;;;;x
usa_ii_corps;U.S. II Corps Headquarters;;;;;;;;;;;;;x
usa_ii_corps_short;US II Corps;;;;;;;;;;;;;x
usa_iii_corps;U.S. III Corps Headquarters;;;;;;;;;;;;;x
usa_iii_corps_short;US III Corps;;;;;;;;;;;;;x
usa_iv_corps;U.S. IV Corps Headquarters;;;;;;;;;;;;;x
usa_iv_corps_short;US IV Corps;;;;;;;;;;;;;x
usa_v_corps;U.S. V Corps Headquarters;;;;;;;;;;;;;x
usa_v_corps_short;US V Corps;;;;;;;;;;;;;x
usa_vi_corps;U.S. VI Corps Headquarters;;;;;;;;;;;;;x
usa_vi_corps_short;US VI Corps;;;;;;;;;;;;;x
usa_vii_corps;U.S. VII Corps Headquarters;;;;;;;;;;;;;x
usa_vii_corps_short;US VII Corps;;;;;;;;;;;;;x
usa_viii_corps;U.S. VIII Corps Headquarters;;;;;;;;;;;;;x
usa_viii_corps_short;US VIII Corps;;;;;;;;;;;;;x
usa_ix_corps;U.S. IX Corps Headquarters;;;;;;;;;;;;;x
usa_ix_corps_short;US IX Corps;;;;;;;;;;;;;x
usa_x_corps;U.S. X Corps Headquarters;;;;;;;;;;;;;x
usa_x_corps_short;US X Corps;;;;;;;;;;;;;x
usa_xi_corps;U.S. XI Corps Headquarters;;;;;;;;;;;;;x
usa_xi_corps_short;US XI Corps;;;;;;;;;;;;;x
usa_xii_corps;U.S. XII Corps Headquarters;;;;;;;;;;;;;x
usa_xii_corps_short;US XII Corps;;;;;;;;;;;;;x
usa_xiii_corps;U.S. XIII Corps Headquarters;;;;;;;;;;;;;x
usa_xiii_corps_short;US XIII Corps;;;;;;;;;;;;;x
usa_xiv_corps;U.S. XIV Corps Headquarters;;;;;;;;;;;;;x
usa_xiv_corps_short;US XIV Corps;;;;;;;;;;;;;x
usa_xv_corps;U.S. XV Corps Headquarters;;;;;;;;;;;;;x
usa_xv_corps_short;US XV Corps;;;;;;;;;;;;;x
usa_xvi_corps;U.S. XVI Corps Headquarters;;;;;;;;;;;;;x
usa_xvi_corps_short;US XVI Corps;;;;;;;;;;;;;x
usa_xviii_airborne_corps;U.S. XVIII Airborne Headquarters;;;;;;;;;;;;;x
usa_xviii_airborne_short;US XVIII ABN;;;;;;;;;;;;;x
usa_xix_corps;U.S. XIX Corps Headquarters;;;;;;;;;;;;;x
usa_xix_corps_short;US XIX Corps;;;;;;;;;;;;;x
usa_xx_corps;U.S. XX Corps Headquarters;;;;;;;;;;;;;x
usa_xx_corps_short;US XX Corps;;;;;;;;;;;;;x
usa_xxi_corps;U.S. XXI Corps Headquarters;;;;;;;;;;;;;x
usa_xxi_corps_short;US XXI Corps;;;;;;;;;;;;;x
usa_xxii_corps;U.S. XXII Corps Headquarters;;;;;;;;;;;;;x
usa_xxii_corps_short;US XXII Corps;;;;;;;;;;;;;x
usa_xxiii_corps;U.S. XXIII Corps Headquarters;;;;;;;;;;;;;x
usa_xxiii_corps_short;US XXIII Corps;;;;;;;;;;;;;x
usa_xxiv_corps;U.S. XXIV Corps Headquarters;;;;;;;;;;;;;x
usa_xxiv_corps_short;US XXIV Corps;;;;;;;;;;;;;x
usa_first_allied_airborne_army;1st Allied Airborne Army HQ;;;;;;;;;;;;x;
usa_first_allied_airborne_army_short;FAAA-HQ;;;;;;;;;;;;x;
usa_first_army;U.S. 1st Army Headquarters;;;;;;;;;;;;;x
usa_first_army_short;US 1st Army;;;;;;;;;;;;;x
usa_second_army;U.S. 2nd Army Headquarters;;;;;;;;;;;;;x
usa_second_army_short;US 2nd Army;;;;;;;;;;;;;x
usa_third_army;U.S. 3rd Army Headquarters;;;;;;;;;;;;;x
usa_third_army_short;US 3rd Army;;;;;;;;;;;;;x
usa_fourth_army;U.S. 4th Army Headquarters;;;;;;;;;;;;;x
usa_fourth_army_short;US 4th Army;;;;;;;;;;;;;x
